collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-03-02,02013,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02016,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02020,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02050,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02060,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02068,AK,5,4.5,-50,3.3,-0.9,0.8,-2.4
2024-03-02,02070,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02090,AK,5,4.5,-50,3.3,-0.9,0.8,-2.4
2024-03-02,02100,AK,0,0,0,4.9,-1,0,0
2024-03-02,02105,AK,0,0,0,4.9,-1,0,0
2024-03-02,02110,AK,0,0,0,4.9,-1,0,0
2024-03-02,02122,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02130,AK,0,0,-100,22.2,-2.5,,
2024-03-02,02150,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02158,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02164,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02170,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02180,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02185,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02188,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02195,AK,0,0,-100,22.2,-2.5,,
2024-03-02,02198,AK,0,0,-100,22.2,-2.5,,
2024-03-02,02220,AK,0,0,0,4.9,-1,0,0
2024-03-02,02230,AK,0,0,0,4.9,-1,0,0
2024-03-02,02240,AK,5,4.5,-50,3.3,-0.9,0.8,-2.4
2024-03-02,02261,AK,10,1.8,-28.6,1.3,-0.4,0.9,-0.3
2024-03-02,02275,AK,0,0,-100,22.2,-2.5,,
2024-03-02,02282,AK,0,0,0,4.9,-1,0,0
